specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
10000,ncsm,ncsm,ncsm-herp,ncsm-herp,79383,79383,Hylarana,rana,erythraea,erythraea
10004,ncsm,ncsm,ncsm-herp,ncsm-herp,79785,79785,Calotriton,laotriton,arnoldi,laoensis
10008,ypm,ypm,ip,ip,ypm ip 009857,ypm ip 009857,Hemiaster,hemiaster,whitei,beecheri
10030,ncsm,ncsm,ncsm-herp,ncsm-herp,84971,84971,Takydromus,takydromus,sexlineatus,khasiensis
10189,USNM,usnm,,mammals,239453,239453,Callicebus,callicebus,moloch,moloch
10307,ypm,ypm,ip,ip,ypm ip 794453,ypm ip 794453,Tancredia,tancredia,americana,africana
10329,usnm,usnm,V,paleobiology,19450,v19450,Pelycodus,pelycodus,jarrovii,jarrovii
10333,ypm,ypm,ip,ip,ypm ip 855620,ypm ip 855620,Nostoceras,nostoceras,splendidus,splendidum
10338,ypm,ypm,ip,ip,ypm ip 855372,ypm ip 855372,Exogyra,exogyra,sp.,callophyla
10340,ypm,ypm,ip,ip,ypm ip 855374,ypm ip 855374,Subprionocyclus,subprionocyclus,sp.,neptuni
10343,ypm,ypm,vp,vp,ypm vp 003995,ypm vp 003995,Clidastes,clidastes,sp.,cineriarum
10363,ypm,ypm,vp,vp,ypm vp 058796,ypm vp 058796,Protosphyraena,protosphyraena,sp.,gladius
10368,ypm,ypm,vp,vp,ypm vp 003972,ypm vp 003972,Platecarpus,platecarpus,coryphaeus ,tympaniticus
10413,ypm,ypm,vp,vp,ypm vp 040728,ypm vp 040728,Platecarpus,platecarpus,sp.,tympaniticus
10435,USNM,usnm,,mammals,361027,361027,Ateles,ateles,paniscus,paniscus
10674,UCMP,ucmp,V,v,173467,173467,Cantius,,sp.,
