specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
12,AMNH,amnh,M,mammals,207949,m-207949,Arctocebus,arctocebus,calabarensis,calabarensis
33,UCMP,ucmp,,v,218405,218405,Omomyidae,,incertae sedis,
34,AMNH,amnh,M,mammals,212954,m-212954,Arctocebus,arctocebus,calabarensis,calabarensis
35,USNM,usnm,,paleobiology,83650,pal83650,Avahi,pararaphistoma,laniger,qualteriata
37,MCZ,mcz,,mamm,38316,38316,Arctocebus,arctocebus,calabarensis,aureus
38,USNM,usnm,,paleobiology,83652,pal83652,Avahi,lophospira,laniger,aojii
39,AMNH,amnh,M,mammals,170501,m-170501,Avahi,avahi,laniger,laniger
40,AMNH,amnh,M,mammals,41267,m-41267,Avahi,avahi,laniger,laniger
41,AMNH,amnh,M,mammals,170461,m-170461,Avahi,avahi,laniger,laniger
43,AMNH,amnh,M,mammals,100635,m-100635,Avahi,avahi,laniger,laniger
44,AMNH,amnh,M,mammals,100640,m-100640,Cheirogaleus,cheirogaleus,major,major
46,AMNH,amnh,M,mammals,100830,m-100830,Cheirogaleus,cheirogaleus,major,major
47,AMNH,amnh,M,mammals,80072,m-80072,Cheirogaleus,cheirogaleus,medius,medius
49,AMNH,amnh,M,mammals,100654,m-100654,Cheirogaleus,cheirogaleus,medius,medius
51,AMNH,amnh,M,mammals,196618,m-196618,Cheirogaleus,cheirogaleus,medius,medius
53,AMNH,amnh,M,mammals,103734,m-103734,Galeopterus,galeopterus,variegatus,variegatus
54,AMNH,amnh,M,mammals,103735,m-103735,Galeopterus,galeopterus,variegatus,variegatus
55,AMNH,amnh,M,mammals,102703,m-102703,Galeopterus,galeopterus,variegatus,variegatus
56,AMNH,amnh,M,mammals,107136,m-107136,Galeopterus,galeopterus,variegatus,variegatus
57,AMNH,amnh,M,mammals,106286,m-106286,Galeopterus,galeopterus,variegatus,variegatus
58,AMNH,amnh,M,mammals,120449,m-120449,Cynocephalus,cynocephalus,volans,volans
59,AMNH,amnh,M,mammals,203258,m-203258,Cynocephalus,cynocephalus,volans,volans
60,AMNH,amnh,M,mammals,24958,m-24958,Cynocephalus,cynocephalus,volans,volans
61,AMNH,amnh,M,mammals,100632,m-100632,Daubentonia,daubentonia,madagascariensis,madagascariensis
63,AMNH,amnh,M,mammals,41334,m-41334,Daubentonia,daubentonia,madagascariensis,madagascariensis
65,AMNH,amnh,M,mammals,185643,m-185643,Daubentonia,daubentonia,madagascariensis,madagascariensis
66,AMNH,amnh,M,mammals,19159,m-19159,Eulemur,eulemur,fulvus,fulvus
67,AMNH,amnh,M,mammals,18696,m-18696,Eulemur,eulemur,fulvus,fulvus
84,AMNH,amnh,M,mammals,100569,m-100569,Eulemur,lemur,fulvus,lecomystax
85,AMNH,amnh,M,mammals,41264,m-41264,Eulemur,lemur,fulvus,lecomystax
86,AMNH,amnh,M,mammals,100517,m-100517,Eulemur,lemur,fulvus,lecomystax
87,AMNH,amnh,M,mammals,41268,m-41268,Eulemur,lemur,fulvus,lecomystax
88,AMNH,amnh,M,mammals,241119,m-241119,Galago,galago,alleni,alleni
89,AMNH,amnh,M,mammals,236348,m-236348,Galago,galago,alleni,alleni
90,AMNH,amnh,M,mammals,119810,m-119810,Galago,galago,demidovii,demidoffi
91,AMNH,amnh,M,mammals,241124,m-241124,Galago,galago,demidovii,demidoffi
92,AMNH,amnh,M,mammals,239438,m-239438,Galago,galago,demidovii,demidoffi
93,AMNH,amnh,M,mammals,241122,m-241122,Galago,galago,demidovii,demidoffi
94,AMNH,amnh,M,mammals,187359,m-187359,Galago,galago,senegalensis,senegalensis
95,AMNH,amnh,M,mammals,187360,m-187360,Galago,galago,senegalensis,senegalensis
96,AMNH,amnh,M,mammals,187362,m-187362,Galago,galago,senegalensis,senegalensis
97,AMNH,amnh,M,mammals,100503,m-100503,Indri,indri,indri,indri
99,AMNH,amnh,M,mammals,185638,m-185638,Indri,indri,indri,indri
100,AMNH,amnh,M,mammals,100504,m-100504,Indri,indri,indri,indri
101,AMNH,amnh,M,mammals,170737,m-170737,Lemur,lemur,catta,catta
102,AMNH,amnh,M,mammals,100598,m-100598,Lemur,lemur,catta,catta
103,AMNH,amnh,M,mammals,100821,m-100821,Lemur,lemur,catta,catta
104,AMNH,amnh,M,mammals,170743,m-170743,Lemur,lemur,catta,catta
105,AMNH,amnh,M,mammals,170740,m-170740,Lemur,lemur,catta,catta
106,AMNH,amnh,M,mammals,170741,m-170741,Lemur,lemur,catta,catta
107,AMNH,amnh,M,mammals,100642,m-100642,Lepilemur,lepilemur,mustelinus,mustelinus
108,AMNH,amnh,M,mammals,170576,m-170576,Lepilemur,lepilemur,mustelinus,mustelinus
109,AMNH,amnh,M,mammals,170578,m-170578,Lepilemur,lepilemur,mustelinus,mustelinus
110,AMNH,amnh,M,mammals,170569,m-170569,Lepilemur,lepilemur,mustelinus,mustelinus
111,AMNH,amnh,M,mammals,100612,m-100612,Lepilemur,lepilemur,mustelinus,mustelinus
112,AMNH,amnh,M,mammals,165931,m-165931,Loris,loris,tardigradus,tardigradus
113,AMNH,amnh,M,mammals,150062,m-150062,Loris,loris,tardigradus,tardigradus
114,AMNH,amnh,M,mammals,240827,m-240827,Loris,loris,tardigradus,tardigradus
115,AMNH,amnh,M,mammals,217303,m-217303,Loris,loris,tardigradus,tardigradus
116,AMNH,amnh,M,mammals,174530,m-174530,Microcebus,microcebus,griseorufus,murinus
117,AMNH,amnh,M,mammals,174533,m-174533,Microcebus,microcebus,griseorufus,murinus
118,AMNH,amnh,M,mammals,174534,m-174534,Microcebus,microcebus,griseorufus,murinus
119,AMNH,amnh,M,mammals,174498,m-174498,Microcebus,microcebus,griseorufus,murinus
120,AMNH,amnh,M,mammals,174483,m-174483,Microcebus,microcebus,griseorufus,murinus
121,AMNH,amnh,M,mammals,174531,m-174531,Microcebus,microcebus,griseorufus,murinus
122,AMNH,amnh,M,mammals,174489,m-174489,Microcebus,microcebus,griseorufus,murinus
123,AMNH,amnh,M,mammals,100832,m-100832,Microcebus,mirza,coquereli,coquereli
125,AMNH,amnh,M,mammals,87279,m-87279,Nycticebus,nycticebus,coucang,coucang
126,AMNH,amnh,M,mammals,183827,m-183827,Nycticebus,nycticebus,coucang,coucang
127,AMNH,amnh,M,mammals,164442,m-164442,Nycticebus,nycticebus,coucang,coucang
128,AMNH,amnh,M,mammals,106650,m-106650,Nycticebus,nycticebus,coucang,coucang
129,AMNH,amnh,M,mammals,106653,m-106653,Nycticebus,nycticebus,coucang,coucang
130,AMNH,amnh,M,mammals,101508,m-101508,Nycticebus,nycticebus,coucang,coucang
131,AMNH,amnh,M,mammals,101782,m-101782,Nycticebus,nycticebus,coucang,coucang
132,AMNH,amnh,M,mammals,102845,m-102845,Nycticebus,nycticebus,coucang,coucang
133,AMNH,amnh,M,mammals,269907,m-269907,Perodicticus,perodicticus,potto,potto
134,AMNH,amnh,M,mammals,269860,m-269860,Perodicticus,perodicticus,potto,potto
136,AMNH,amnh,M,mammals,269851,m-269851,Perodicticus,perodicticus,potto,potto
137,AMNH,amnh,M,mammals,241117,m-241117,Perodicticus,perodicticus,potto,potto
138,AMNH,amnh,M,mammals,31252,m-31252,Perodicticus,perodicticus,potto,potto
139,AMNH,amnh,M,mammals,100829,m-100829,Phaner,phaner,furcifer,furcifer
141,AMNH,amnh,M,mammals,100633,m-100633,Propithecus,propithecus,diadema,diadema
142,AMNH,amnh,M,mammals,17356,m-17356,Propithecus,propithecus,diadema,diadema
145,USNM,usnm,,paleobiology,257397,pal257397,Propithecus,eponides,verreauxi,sp a
146,AMNH,amnh,M,mammals,16699,m-16699,Propithecus,propithecus,verreauxi,verreauxi
147,AMNH,amnh,M,mammals,100827,m-100827,Propithecus,propithecus,verreauxi,verreauxi
148,AMNH,amnh,M,mammals,106649,m-106649,Tarsius,tarsius,bancanus,banacanus
149,AMNH,amnh,M,mammals,106754,m-106754,Tarsius,tarsius,borneanus,banacanus
150,AMNH,amnh,M,mammals,109368,m-109368,Tarsius,tarsius,spectrum,tarsier
151,AMNH,amnh,M,mammals,109366,m-109366,Tarsius,tarsius,spectrum,tarsier
152,AMNH,amnh,M,mammals,196485,m-196485,Tarsius,tarsius,spectrum,tarsier
153,AMNH,amnh,M,mammals,196480,m-196480,Tarsius,tarsius,spectrum,tarsier
154,AMNH,amnh,M,mammals,166856,m-166856,Tarsius,tarsius,syricta,tarsius
155,AMNH,amnh,M,mammals,203297,m-203297,Tarsius,tarsius,syricta,tarsius
156,AMNH,amnh,M,mammals,187935,m-187935,Tarsius,tarsius,syricta,tarsius
157,AMNH,amnh,M,mammals,100514,m-100514,Varecia,varecia,variegata,variegata
158,AMNH,amnh,M,mammals,100513,m-100513,Varecia,varecia,variegata,variegata
159,AMNH,amnh,M,mammals,245092,m-245092,Varecia,varecia,variegata,variegata
160,AMNH,amnh,M,mammals,18041,m-18041,Varecia,varecia,variegata,variegata
161,AMNH,amnh,M,mammals,17338,m-17338,Varecia,varecia,variegata,variegata
162,AMNH,amnh,M,mammals,100512,m-100512,Varecia,varecia,variegata,variegata
166,AMNH,amnh,M,mammals,236349,m-236349,Galago,galago,alleni,alleni
173,AMNH,amnh,M,mammals,28420,m-28420,Ateles,ateles,geoffroyi,geoffroyi
201,USNM,usnm,,paleobiology,317966,pal317966,Hapalemur,quercus,griseus,virginiana
203,USNM,usnm,,paleobiology,377375,pal377375,Arctocebus,gastrocopta,calabarensis,montana
204,USNM,usnm,,mammals,511930,511930,Arctocebus,arctocebus,calabarensis,calabarensis
205,AMNH,amnh,M,mammals,100505,m-100505,Indri,indri,indri,indri
206,AMNH,amnh,M,mammals,100506,m-100506,Indri,indri,indri,indri
207,AMNH,amnh,M,mammals,100508,m-100508,Indri,indri,indri,indri
208,AMNH,amnh,M,mammals,100507,m-100507,Indri,indri,indri,indri
209,AMNH,amnh,M,mammals,100816,m-100816,Indri,indri,indri,indri
210,MCZ,mcz,,mamm,45126,45126,Mirza,microcebus,coquereli,murinus
211,MCZ,mcz,,mamm,44953,44953,Phaner,phaner,furcifer,furcifer
212,USNM,usnm,,paleobiology,171063,pal171063,Alouatta,bathylagus,palliata,sp
213,USNM,usnm,,mammals,284782,284782,Alouatta,alouatta,palliata,palliata
214,USNM,usnm,,paleobiology,290601,pal290601,Alouatta,lithornis,palliata,celetius
215,USNM,usnm,,paleobiology,123517,pal123517,Alouatta,spathognathodus,seniculus,inornatus
216,USNM,usnm,,paleobiology,281658,pal281658,Alouatta,carcharodon,seniculus,megalodon
217,USNM,usnm,,paleobiology,281673,pal281673,Alouatta,redfieldius,seniculus,gracilis
218,USNM,usnm,,paleobiology,281741,pal281741,Alouatta,lingulella,seniculus,sp
219,USNM,usnm,,paleobiology,281751,pal281751,Alouatta,lingulella,seniculus,sp
221,AMNH,amnh,M,mammals,211460,m-211460,Aotus,aotus,azarae,azarae
222,AMNH,amnh,M,mammals,211465,m-211465,Aotus,aotus,azarae,azarae
223,AMNH,amnh,M,mammals,147472,m-147472,Aotus,aotus,nigriceps,nigriceps
224,AMNH,amnh,M,mammals,67246,m-67246,Aotus,aotus,nigriceps,nigriceps
225,AMNH,amnh,M,mammals,75996,m-75996,Aotus,aotus,nigriceps,nigriceps
226,AMNH,amnh,M,mammals,75999,m-75999,Aotus,aotus,nigriceps,nigriceps
227,AMNH,amnh,M,mammals,76002,m-76002,Aotus,aotus,nigriceps,nigriceps
228,AMNH,amnh,M,mammals,92804,m-92804,Aotus,aotus,nigriceps,nigriceps
229,AMNH,amnh,M,mammals,92809,m-92809,Aotus,aotus,nigriceps,nigriceps
230,USNM,usnm,,paleobiology,364486,pal364486,Aotus,cordaites,nigriceps,spatulata
231,AMNH,amnh,M,mammals,67102,m-67102,Ateles,ateles,belzebuth,belzebuth
232,AMNH,amnh,M,mammals,71787,m-71787,Ateles,ateles,belzebuth,belzebuth
233,AMNH,amnh,M,mammals,76882,m-76882,Ateles,ateles,belzebuth,belzebuth
234,USNM,usnm,,mammals,241384,241384,Ateles,ateles,belzebuth,belzebuth
235,USNM,usnm,,mammals,406674,406674,Ateles,ateles,belzebuth,belzebuth
236,USNM,usnm,,mammals,406675,406675,Ateles,ateles,belzebuth,belzebuth
237,MCZ,mcz,,mamm,34320,34320,Ateles,ateles,geoffroyi,geoffroyi
238,MCZ,mcz,BOM,mamm,5344,5344,Ateles,scotophilus,geoffroyi,wroughtoni
239,USNM,usnm,,paleobiology,336204,pal336204,Ateles,carcharodon,geoffroyi,carcharias
240,MCZ,mcz,,mamm,31759,31759,Ateles,ateles,paniscus,paniscus
241,MCZ,mcz,,mamm,5070,5070,Brachyteles,felis,arachnoides,tigris
242,AMNH,amnh,M,mammals,73720,m-73720,Cacajao,cacajao,calvus,calvus
243,AMNH,amnh,M,mammals,76391,m-76391,Cacajao,cacajao,calvus,calvus
244,AMNH,amnh,M,mammals,76648,m-76648,Cacajao,cacajao,calvus,calvus
245,AMNH,amnh,M,mammals,98316,m-98316,Cacajao,cacajao,calvus,calvus
246,AMNH,amnh,M,mammals,98397,m-98397,Cacajao,cacajao,calvus,calvus
247,AMNH,amnh,M,mammals,78566,m-78566,Cacajao,cacajao,melanocephalus,melanocephalus
248,AMNH,amnh,M,mammals,78569,m-78569,Cacajao,cacajao,melanocephalus,melanocephalus
249,USNM,usnm,,paleobiology,256215,pal256215,Cacajao,genus,melanocephalus,sp
250,USNM,usnm,,mammals,406423,406423,Cacajao,cacajao,melanocephalus,melanocephalus
251,AMNH,amnh,M,mammals,211491,m-211491,Callicebus,callicebus,donacophilus,donacophilus
252,AMNH,amnh,M,mammals,211494,m-211494,Callicebus,callicebus,donacophilus,donacophilus
253,AMNH,amnh,M,mammals,40834,m-40834,Callicebus,callicebus,donacophilus,donacophilus
254,AMNH,amnh,M,mammals,94972,m-94972,Callicebus,callicebus,moloch,moloch
255,AMNH,amnh,M,mammals,94979,m-94979,Callicebus,callicebus,moloch,moloch
256,AMNH,amnh,M,mammals,76861,m-76861,Callicebus,callicebus,torquatus,torquatus
257,AMNH,amnh,M,mammals,77300,m-77300,Callicebus,callicebus,torquatus,torquatus
258,AMNH,amnh,M,mammals,78466,m-78466,Callicebus,callicebus,torquatus,torquatus
259,AMNH,amnh,M,mammals,78473,m-78473,Callicebus,callicebus,torquatus,torquatus
260,AMNH,amnh,M,mammals,78580,m-78580,Callicebus,callicebus,torquatus,torquatus
261,AMNH,amnh,M,mammals,239863,m-239863,Cebus,cebus,apella,apella
262,AMNH,amnh,M,mammals,239864,m-239864,Cebus,cebus,apella,apella
263,AMNH,amnh,M,mammals,78501,m-78501,Cebus,cebus,apella,apella
264,USNM,usnm,,paleobiology,296634,pal296634,Cebus,negaprion,apella,sp
265,USNM,usnm,,paleobiology,361019,pal361019,Cebus,leptotomus,apella,parvus
266,USNM,usnm,,paleobiology,461384,pal461384,Cebus,anorthopygus,apella,texanus
267,USNM,usnm,,paleobiology,291123,pal291123,Cebus,merluccius,capucinus,bilinearis
268,USNM,usnm,,mammals,291128,291128,Cebus,cebus,capucinus,capucinus
269,USNM,usnm,,paleobiology,291133,pal291133,Cebus,sciaenops,capucinus,sp
270,USNM,usnm,,mammals,464845,464845,Cebus,cebus,capucinus,capucinus
273,AMNH,amnh,M,mammals,95302,m-95302,Chiropotes,chiropotes,albinasus,albinasus
274,MCZ,mcz,,mamm,31701,31701,Chiropotes,chiropotes,albinasus,albinasus
275,USNM,usnm,,mammals,543357,543357,Chiropotes,chiropotes,albinasus,albinasus
276,USNM,usnm,,paleobiology,338962,pal338962,Chiropotes,operculinoides,satanas,georgianus
277,USNM,usnm,,mammals,406583,406583,Chiropotes,chiropotes,satanas,satanas
278,USNM,usnm,,mammals,406593,406593,Chiropotes,chiropotes,satanas,satanas
279,USNM,usnm,,paleobiology,546263,pal546263,Chiropotes,genus,satanas,sp
280,USNM,usnm,,paleobiology,546264,pal546264,Chiropotes,genus,satanas,sp
281,USNM,usnm,,paleobiology,549519,pal549519,Chiropotes,,satanas,
282,USNM,usnm,,paleobiology,545878,pal545878,Lagothrix,dyscritellopsis,lagotricha,thaynesianus
283,USNM,usnm,,paleobiology,545879,pal545879,Lagothrix,dyscritellopsis,lagotricha,thaynesianus
284,USNM,usnm,,paleobiology,545887,pal545887,Lagothrix,dyscritellopsis,lagotricha,thaynesianus
285,USNM,usnm,,paleobiology,545890,pal545890,Lagothrix,dyscritellopsis,lagotricha,thaynesianus
286,AMNH,amnh,M,mammals,188142,m-188142,Lagothrix,lagothrix,lagotricha,lagothricha
287,AMNH,amnh,M,mammals,71767,m-71767,Lagothrix,lagothrix,lagotricha,lagothricha
288,AMNH,amnh,M,mammals,71776,m-71776,Lagothrix,lagothrix,lagotricha,lagothricha
289,AMNH,amnh,M,mammals,71780,m-71780,Lagothrix,lagothrix,lagotricha,lagothricha
290,AMNH,amnh,M,mammals,76393,m-76393,Lagothrix,lagothrix,lagotricha,lagothricha
291,AMNH,amnh,M,mammals,98332,m-98332,Lagothrix,lagothrix,lagotricha,lagothricha
292,AMNH,amnh,M,mammals,76412,m-76412,Pithecia,pithecia,monachus,monachus
293,MCZ,mcz,,mamm,30720,30720,Pithecia,pithecia,monachus,monachus
294,USNM,usnm,,paleobiology,461919,pal461919,Pithecia,conulus,monachus,albogalerus
295,USNM,usnm,,paleobiology,545891,pal545891,Pithecia,dyscritellopsis,monachus,thaynesianus
296,USNM,usnm,,mammals,374744,374744,Pithecia,pithecia,pithecia,pithecia
297,USNM,usnm,,mammals,374745,374745,Pithecia,pithecia,pithecia,pithecia
298,USNM,usnm,,mammals,374746,374746,Pithecia,pithecia,pithecia,pithecia
299,USNM,usnm,,mammals,374756,374756,Pithecia,pithecia,pithecia,pithecia
300,USNM,usnm,,mammals,374759,374759,Pithecia,pithecia,pithecia,pithecia
301,USNM,usnm,,mammals,374767,374767,Pithecia,pithecia,pithecia,pithecia
302,AMNH,amnh,M,mammals,38792,m-38792,Saimiri,saimiri,boliviensis,boliviensis
303,AMNH,amnh,M,mammals,76003,m-76003,Saimiri,saimiri,boliviensis,boliviensis
304,AMNH,amnh,M,mammals,76583,m-76583,Saimiri,saimiri,boliviensis,boliviensis
305,AMNH,amnh,M,mammals,76586,m-76586,Saimiri,saimiri,boliviensis,boliviensis
306,AMNH,amnh,M,mammals,98272,m-98272,Saimiri,saimiri,boliviensis,boliviensis
307,USNM,usnm,,mammals,364497,364497,Saimiri,saimiri,boliviensis,boliviensis
308,USNM,usnm,,paleobiology,396265,pal396265,Saimiri,apteribis,boliviensis,sp
309,USNM,usnm,,paleobiology,518547,pal518547,Saimiri,heliophyllum,sciureus,halli
310,USNM,usnm,,paleobiology,545893,pal545893,Saimiri,dyscritellopsis,sciureus,thaynesianus
311,USNM,usnm,,paleobiology,546267,pal546267,Saimiri,glyptops,sciureus,pervicax
342,USNM,usnm,,paleobiology,281758,pal281758,Alouatta,lingulella,seniculus,sp
344,UCMP,ucmp,,v,38989,38989,Stirtonia,stirtonia,tatacoensis,tatacoensis
369,UCMP,ucmp,,v,39204,39204,Homunculus,stirtonia,tatacoensis,tatacoensis
370,UCMP,ucmp,,v,39205,39205,Neosaimiri,neosaimiri,fieldsi,fieldsi
373,UCMP,ucmp,,v,38762,38762,Cebupithecia,cebupithecia,sarmientoi,sarmientoi
374,UCMP,ucmp,,v,218345,218345,Omomyidae,,incertae sedis,
375,UCMP,ucmp,,v,217911,217911,Adapidae,,incertae sedis,
376,UCMP,ucmp,,v,217914,217914,Adapidae,,incertae sedis,
377,UCMP,ucmp,,v,217917,217917,Adapidae,,incertae sedis,
378,UCMP,ucmp,,v,217918,217918,Adapidae,,incertae sedis,
379,UCMP,ucmp,,v,217938,217938,Omomyidae,,incertae sedis,
380,UCMP,ucmp,,v,217955,217955,Omomyidae,,incertae sedis,
381,UCMP,ucmp,,v,217959,217959,Omomyidae,,incertae sedis,
382,UCMP,ucmp,,v,217987,217987,Omomyidae,,incertae sedis,
383,UCMP,ucmp,,v,218122,218122,Omomyidae,,incertae sedis,
384,UCMP,ucmp,,v,218189,218189,Omomyidae,,incertae sedis,
385,UCMP,ucmp,,v,218221,218221,Omomyidae,,incertae sedis,
386,UCMP,ucmp,,v,218222,218222,Omomyidae,,incertae sedis,
387,UCMP,ucmp,,v,218316,218316,Omomyidae,,incertae sedis,
388,UCMP,ucmp,,v,218318,218318,Omomyidae,,incertae sedis,
389,UCMP,ucmp,,v,218355,218355,Omomyidae,,incertae sedis,
390,UCMP,ucmp,,v,218364,218364,Adapidae,,incertae sedis,
391,UCMP,ucmp,,v,218367,218367,Adapidae,,incertae sedis,
392,UCMP,ucmp,,v,217937,217937,Omomyidae,,incertae sedis,
393,UCMP,ucmp,,v,217968,217968,Omomyidae,,incertae sedis,
394,UCMP,ucmp,,v,218326,218326,Omomyidae,,incertae sedis,
395,UCMP,ucmp,,v,218223,218223,Omomyidae,,incertae sedis,
468,AMNH,amnh,M,mammals,109367,m-109367,Tarsius,tarsius,spectrum,tarsier
469,AMNH,amnh,M,mammals,109369,m-109369,Tarsius,tarsius,spectrum,tarsier
470,AMNH,amnh,M,mammals,203296,m-203296,Tarsius,tarsius,syricta,tarsius
471,AMNH,amnh,M,mammals,212958,m-212958,Galago,galago,demidovii,demidoffi
472,AMNH,amnh,M,mammals,212956,m-212956,Galago,galago,demidovii,demidoffi
473,AMNH,amnh,M,mammals,241121,m-241121,Galago,galago,demidovii,demidoffi
474,AMNH,amnh,M,mammals,187358,m-187358,Galago,galago,senegalensis,senegalensis
475,AMNH,amnh,M,mammals,35445,m-35445,Galago,galago,senegalensis,
476,AMNH,amnh,M,mammals,87064,m-87064,Galago,galago,senegalensis,senegalensis
477,AMNH,amnh,M,mammals,119521,m-119521,Galago,galago,senegalensis,senegalensis
478,AMNH,amnh,M,mammals,70410,m-70410,Galago,galago,senegalensis,
480,AMNH,amnh,M,mammals,216239,m-216239,Otolemur,galago,crassicaudatus,crassicaudatus
481,AMNH,amnh,M,mammals,216244,m-216244,Otolemur,galago,crassicaudatus,crassicaudatus
482,AMNH,amnh,M,mammals,216241,m-216241,Otolemur,galago,crassicaudatus,crassicaudatus
483,AMNH,amnh,M,mammals,80801,m-80801,Otolemur,galago,crassicaudatus,crassicaudatus
487,AMNH,amnh,M,mammals,241127,m-241127,Euoticus,euoticus,elegantulus,elegantulus
488,AMNH,amnh,M,mammals,174415,m-174415,Microcebus,microcebus,griseorufus,murinus
489,AMNH,amnh,M,mammals,174430,m-174430,Microcebus,microcebus,griseorufus,murinus
490,AMNH,amnh,M,mammals,174431,m-174431,Microcebus,microcebus,griseorufus,murinus
491,AMNH,amnh,M,mammals,174471,m-174471,Microcebus,microcebus,griseorufus,murinus
496,AMNH,amnh,M,mammals,170708,m-170708,Eulemur,lemur,fulvus,lecomystax
497,AMNH,amnh,M,mammals,170717,m-170717,Eulemur,lemur,fulvus,lecomystax
498,AMNH,amnh,M,mammals,170723,m-170723,Eulemur,lemur,fulvus,lecomystax
499,AMNH,amnh,M,mammals,170728,m-170728,Eulemur,lemur,fulvus,lecomystax
500,AMNH,amnh,M,mammals,31254,m-31254,Eulemur,eulemur,fulvus,fulvus
501,AMNH,amnh,M,mammals,17403,m-17403,Eulemur,eulemur,fulvus,mongoz
502,AMNH,amnh,M,mammals,170680,m-170680,Hapalemur,hapalemur,griseus,griseus
503,AMNH,amnh,M,mammals,170689,m-170689,Hapalemur,hapalemur,griseus,griseus
504,AMNH,amnh,M,mammals,61589,m-61589,Hapalemur,hapalemur,griseus,griseus
505,AMNH,amnh,M,mammals,170675,m-170675,Hapalemur,hapalemur,griseus,griseus
510,AMNH,amnh,M,mammals,201384,m-201384,Varecia,varecia,variegata,variegata
511,AMNH,amnh,M,mammals,22912,m-22912,Lemur,lemur,catta,catta
512,AMNH,amnh,M,mammals,170739,m-170739,Lemur,lemur,catta,catta
513,AMNH,amnh,M,mammals,170556,m-170556,Lepilemur,lepilemur,mustelinus,mustelinus
515,AMNH,amnh,M,mammals,170560,m-170560,Lepilemur,lepilemur,mustelinus,mustelinus
516,AMNH,amnh,M,mammals,170568,m-170568,Lepilemur,lepilemur,mustelinus,mustelinus
517,AMNH,amnh,M,mammals,170559,m-170559,Lepilemur,lepilemur,mustelinus,mustelinus
518,AMNH,amnh,M,mammals,208992,m-208992,Indri,indri,indri,indri
519,AMNH,amnh,M,mammals,208989,m-208989,Propithecus,propithecus,coquereli,verreauxi
520,AMNH,amnh,M,mammals,170474,m-170474,Propithecus,propithecus,verreauxi,verreauxi
521,AMNH,amnh,M,mammals,170491,m-170491,Propithecus,propithecus,verreauxi,verreauxi
524,AMNH,amnh,M,mammals,170471,m-170471,Propithecus,propithecus,verreauxi,verreauxi
525,AMNH,amnh,M,mammals,34256,m-34256,Loris,loris,tardigradus,tardigradus
526,AMNH,amnh,M,mammals,150038,m-150038,Loris,loris,tardigradus,tardigradus
527,AMNH,amnh,M,mammals,16591,m-16591,Nycticebus,nycticebus,coucang,coucang
528,AMNH,amnh,M,mammals,102027,m-102027,Nycticebus,nycticebus,coucang,coucang
529,AMNH,amnh,M,mammals,90381,m-90381,Nycticebus,nycticebus,coucang,coucang
530,AMNH,amnh,M,mammals,184597,m-184597,Perodicticus,perodicticus,potto,potto
531,AMNH,amnh,M,mammals,52685,m-52685,Perodicticus,perodicticus,potto,potto
532,AMNH,amnh,M,mammals,119601,m-119601,Hylobates,hylobates,lar,lar
533,AMNH,amnh,M,mammals,106583,m-106583,Symphalangus,symphalangus,syndactylus,syndactylus
534,AMNH,amnh,M,mammals,146725,m-146725,Hylobates,hylobates,sp.,
535,AMNH,amnh,M,mammals,106599,m-106599,Presbytis,presbytis,melalophos,melalophos
536,MCZ,mcz,,mamm,37670,37670,Trachypithecus,presbytis,cristata,cristata
539,MCZ,mcz,,mamm,37327,37327,Nasalis,nasalis,larvatus,larvatus
542,MCZ,mcz,,mamm,35613,35613,Macaca,macaca,fascicularis,fascicularis
543,MCZ,mcz,,mamm,35656,35656,Macaca,macaca,fascicularis,fascicularis
544,MCZ,mcz,,mamm,35673,35673,Macaca,macaca,fascicularis,fascicularis
545,AMNH,amnh,M,mammals,211490,m-211490,Callicebus,callicebus,donacophilus,donacophilus
546,AMNH,amnh,M,mammals,94977,m-94977,Callicebus,callicebus,moloch,moloch
547,AMNH,amnh,M,mammals,130361,m-130361,Callicebus,callicebus,cupreus,cupreus
548,AMNH,amnh,M,mammals,94992,m-94992,Aotus,aotus,infulatus,azarae
549,AMNH,amnh,M,mammals,239851,m-239851,Aotus,aotus,trivirgatus,nancymaae
550,AMNH,amnh,M,mammals,187963,m-187963,Aotus,aotus,trivirgatus,trivirgatus
551,AMNH,amnh,M,mammals,188090,m-188090,Saimiri,saimiri,sciureus,sciureus
552,AMNH,amnh,M,mammals,211650,m-211650,Saimiri,saimiri,boliviensis,boliviensis
553,AMNH,amnh,M,mammals,211613,m-211613,Saimiri,saimiri,boliviensis,boliviensis
554,AMNH,amnh,M,mammals,133608,m-133608,Cebus,cebus,apella,apella
555,AMNH,amnh,M,mammals,133647,m-133647,Cebus,cebus,apella,apella
556,AMNH,amnh,M,mammals,133674,m-133674,Cebus,cebus,apella,apella
557,AMNH,amnh,M,mammals,185347,m-185347,Leontopithecus,leontopithecus,rosalia,
558,AMNH,amnh,M,mammals,133702,m-133702,Callithrix,callithrix,jacchus,jacchus
559,AMNH,amnh,M,mammals,266481,m-266481,Saguinus,saguinus,midas,midas
560,AMNH,amnh,M,mammals,188177,m-188177,Saguinus,saguinus,mystax,mystax
561,AMNH,amnh,M,mammals,188174,m-188174,Saguinus,saguinus,mystax,mystax
