specimen_id,New_iDB_uuid
35,f30cdb74-e351-48d4-9679-5fd36abef7ee
38,ce6ff475-d1d5-4c99-894e-397ff1b3ee9a
145,314cb7fe-9f7e-49ab-9544-4d0441ea5d1e
201,0ea4d5f7-090c-4177-bbb9-d5531cd92bd3
203,e2b4db77-bab4-4e76-bc8d-b55fe0599576
212,f69a89d1-e811-4181-80cc-4822afeb0414
214,461a9adb-e856-4f79-8687-189ac240a989
215,6dceeeaf-b7a7-4f60-870e-ae7ba8b15856
216,b77c4058-33b9-452f-9ecf-3ce5bec47fdc
217,edd67106-41e3-426e-8599-e8aaeba26921
218,cd8a32fa-3233-4d78-9f2b-28bd7f458475
219,156d88ab-0fa8-415a-b2f4-a754c1218ae1
230,3df1b4b6-55e5-47b9-aab1-881f7ca51c60
239,1fb5fa68-182e-4d73-a75d-f8f7857f1da8
249,c7a13a02-a890-4870-a5eb-078a62092ea4
264,9405c9bc-058a-4dc0-847b-80beca63a091
265,e4cde9ea-1f76-4270-b48a-b9b91aabb8e9
266,cae17c95-295c-4a0f-85aa-617ef7bf197c
267,74af1e38-6c2b-4333-814c-37b3556d1e29
269,913e2d34-576a-4c06-9c52-b9f74fbea60d
276,23f59438-6d91-4a4d-962d-e6167bc809a1
279,440e89d8-3262-4f60-aca5-ef00463e5115
280,d7819f10-fe48-47a2-b366-e9e7d9e47199
281,eaaa7de0-bc30-4b5e-8bb8-ffaad3305567
282,eddda3c2-992c-499d-95e3-f620217330e1
283,b99bb22d-fed7-447b-b8ea-00fa00d8ce8c
284,46c36ae1-8478-4133-9093-6ac0a256a53d
285,76ee9e32-17d2-4413-a7c8-5c3047d0b7a0
295,c3a824a7-1361-4f5d-8075-1f343c1378b1
308,1e05719a-66f5-4ce5-a997-98485111abdf
309,a1ed6c54-2711-487f-b975-1c60392e9c92
310,4189ea4b-9aac-4b5f-a4d0-9bf3b5fb07a1
311,e0d8dbe7-dbd0-431f-b3d8-8d8c5ad25974
342,ea2c87cb-8354-46e8-9708-9b0d71191163
1072,d20a7996-7d6e-42a0-8caa-bcc4bc80dcd0
1073,2791476f-8580-4ce1-9e82-9961f2e0ca23
1075,ad53f541-fb67-4aee-8a54-fd5132a747c1
1076,8e38c5d3-7ccb-4fef-b635-d5e4a0404a80
1079,0a7634e4-2f67-4f8d-949f-32d6b1b0f7dd
1252,592479b2-fafe-4ad3-a6ed-b06493eb0571
1254,b237da58-fab5-49f2-bb78-c6e4b21a83c8
1393,9529a733-760a-4117-856a-fc04c55b9e5b
1658,eb69edf2-8682-47ca-ae73-c4a1fd7c66b2
1687,2acd43ab-ea88-4a34-b73b-9669e64407a8
1696,2d70c017-322b-4192-a039-0f20ebf7378c
1744,2337aae6-deac-47c3-8dcb-995516fac9a2
1748,e62942ee-f31d-4095-937e-7b9072a20a45
1808,1e846d3e-0cb5-4ea3-84a1-933f3466daab
1813,742aab83-8d74-47a8-adac-1302adcf826f
1825,ebc36a0a-a37d-44e3-8cc7-0fd1752ffb87
1827,d8cadb19-01bf-45eb-b0f0-9e275c73abe0
1828,ef29ca91-14cc-40ff-80be-b15a3da4338e
1836,106ddbc6-3293-4f3e-85f9-bf43c104269c
2074,65a13cd0-2c43-42d6-ba7c-a604ca3a7f5c
2075,a9fa6f4a-5847-4f0e-9e1a-4429a2386137
2076,7f8dfd76-1895-4f2f-9449-caeea540d049
2077,c3eec1e4-8b94-47b3-ab47-1418ec7b5e45
2079,736b9d0e-5111-4ad9-90ac-8a4a8328963c
2197,4d471e5d-1009-4f7e-89db-a69f72a5042f
2198,fe698d47-e71a-4565-9617-c7f30fef8935
2199,560ba31f-8093-4b23-82e7-d02bde31aef6
2200,094220df-6e07-4cbb-93fe-a201380f9678
2201,e7c817a5-0876-400c-aa75-0ef5a4b62199
2296,0d7c9297-be98-4898-9427-0092da8d5f29
2302,e355b32d-f303-438d-9c39-937180938990
2303,80e4534b-ff79-4b41-a98c-5f44981f48a3
2305,92f89fdc-e5f0-420c-9a14-7acfb8945e2a
2306,abc395ae-3265-45b2-8f14-0e5aa7a7b9a3
2307,f7c23988-e0c8-4008-a614-288014639a4e
2309,f11b1fc9-dfec-443d-a82c-5a1f9297acdc
2310,38702a9c-2fce-4097-85c5-853d87af9d2d
2311,d804d95f-432d-440f-80a3-3690f06330ee
2312,c3fe0ebf-df93-4545-86ed-2cdcd348b6be
2313,46c28b5c-b255-416c-ad16-d4ac83188eef
2556,56fba7df-2221-4591-9928-1699b084407b
2981,775cdcac-6b57-4127-98d2-189bf3e5355e
3005,2b31a0c3-d497-480f-aeb3-9ae9e1883830
3006,efe0ef2f-efc3-4daf-867d-0b4a5d98bae0
3064,a276b227-2135-4bcc-9652-2da85b760620
3118,4e21d67d-8f3c-4b6a-bfda-9307ecbb8f1e
3119,3c17c690-5004-4b5c-88f8-a62c35da730e
3120,d020bde6-a7cd-4c93-9a0d-73007b9697b7
3121,bcf2dcab-50c6-4535-8cf6-543062705d70
3122,2d920dfa-b92b-4327-9957-720f9ebb8252
3123,00c98cf7-c3c2-4bdf-bd50-08a4a28eabf3
3124,13d7a95e-cb04-4425-bf50-e69e5a51a32a
3125,9232cc92-c71d-4450-a9d6-d741fe40457e
3156,06406ff1-d9d7-4953-b125-3a664ebf6976
3159,3f5c559a-ae24-46f9-8d00-156e399c19c0
3162,668e9a4c-9cb5-455d-a406-3d97ff1bdd3a
3163,3d230388-15b8-40b8-ab5f-4ca71056db44
3164,0204bb9b-052e-4609-b74b-94b0dbd66080
3328,d742dcb8-5496-4152-9ee9-0d03946462c3
3329,65cc4d2a-e907-419c-b70f-358594a60c3c
3330,1faf7731-e3b0-48ea-818e-9a1ef2dcf316
3331,4b49e49e-6a2f-4e43-ac69-d1b86bbdc3e5
3334,63731f88-468c-440e-97aa-f3add1f039d8
3379,fa473d52-84f1-45d3-924f-d8831fcdb7e9
3380,87aa629d-0770-4a34-8165-eb97ae57c09a
3381,fae43b86-b4f7-42c5-a756-2d810c88ce91
3383,3b164cf0-4fbb-4564-a189-9f7c3248060c
3385,2f6c8c2e-9b6c-451f-b81f-7e3502f4b93f
3388,342846ae-6951-4637-bf66-d9c84a75a613
3505,92115828-eb62-4c15-8a51-32d3d4ab258f
3520,cb0affa0-d766-4c57-b99f-75cc9f94765e
3603,41ed27c6-6208-4fca-91bb-833c15bf6e09
3604,4463ede7-5892-446e-b111-a682c9b453b9
3605,d51e0731-aae1-43fc-9228-91d5bcb2e125
3606,9d2efe26-43c6-4d59-9b29-cd7bb23a8a44
3679,79a30589-e69b-493d-87de-9e53717a60ff
3682,5e666ca8-c320-4c74-98c8-704ee6dc2b93
3686,e6939972-d0bf-4f59-905e-8ff2cce0be48
3689,3b24de12-a30f-45a0-99cb-a5eb352df429
3695,0a65f827-8f74-4fc1-b16d-27b91ef16bd9
3697,a88f3121-60ce-4006-b52b-d1e79bb4da1a
3699,d8f53ae1-b1a0-4f67-8720-6f2f498112bb
3701,80b7c8b9-ad12-4826-8e3a-5742bc476f21
3737,6f1cf519-6e72-419f-b39d-ccfa68145312
3835,fe5d4e99-c9fa-4267-89bd-a9f1086e3e36
3852,501b21e9-8664-4b8a-8bc5-fcbaf4d334f0
3853,32344dd6-a62d-44de-a868-b2c68c17f054
3858,160cceb8-7211-4815-bb2f-227cd1d1b569
3867,9adaa4c4-cd18-4c67-81fd-c6a670202f97
3868,f0fae0bb-05b8-49f8-aa0b-b8292743398e
3869,5c509dd0-a2a2-48a8-8ff6-41282e9472d8
3870,87b9a61b-ebff-4735-9f0a-9760e2c093dc
3871,057f0330-8481-4f23-b7a4-0c5b4d11cbe9
3872,795ed4b1-50a9-45e6-9bf4-32819f0531e8
3873,cfd278c9-f025-4852-8a5b-4d42cb5603e4
3877,59153f16-770e-4952-89aa-c1f30cbca51c
3880,86076aed-c361-4539-a5ad-0078306a654d
3881,eea62cd7-ce47-40f9-9f27-3c9a3292f694
3882,784486b6-c17c-4c20-936c-a00f49fadc70
