Filename,Compressed size,Uncompressed size
/nfs/images/media/morphosource/images/7/8/660_ms_media_files_media_7822_archive_.zip,207111512,621424
/nfs/images/media/morphosource/images/7/8/68287_ms_media_files_media_7854_archive_.zip,931687749,963246
/nfs/images/media/morphosource/images/7/8/18395_ms_media_files_media_7850_archive_.zip,798084955,1086992
/nfs/images/media/morphosource/images/7/8/48745_ms_media_files_media_7813_archive_.zip,396617477,320048
/nfs/images/media/morphosource/images/7/8/28633_ms_media_files_media_7834_archive_.zip,955406480,1478636
/nfs/images/media/morphosource/images/7/8/38782_ms_media_files_media_7831_archive_.zip,342512938,312144
/nfs/images/media/morphosource/images/7/8/42086_ms_media_files_media_7851_archive_.zip,807889408,1095582
/nfs/images/media/morphosource/images/7/8/31753_ms_media_files_media_7897_archive_.zip,1660260003,4866214
/nfs/images/media/morphosource/images/7/8/56860_ms_media_files_media_7847_archive_.zip,2695701117,3050290
/nfs/images/media/morphosource/images/7/8/99836_ms_media_files_media_7846_archive_.zip,370925066,442834
/nfs/images/media/morphosource/images/7/8/67534_ms_media_files_media_7885_archive_.zip,1001744088,2123987
/nfs/images/media/morphosource/images/7/8/36092_ms_media_files_media_7840_archive_.zip,370872831,558708
/nfs/images/media/morphosource/images/7/8/10966_ms_media_files_media_7804_archive_.zip,176717804,483778
/nfs/images/media/morphosource/images/7/8/47432_ms_media_files_media_7867_archive_.zip,422540216,209628
/nfs/images/media/morphosource/images/7/8/34829_ms_media_files_media_7856_archive_.zip,1153599126,1012036
/nfs/images/media/morphosource/images/7/8/64811_ms_media_files_media_7890_archive_.zip,1597456038,4737906
/nfs/images/media/morphosource/images/7/8/64676_ms_media_files_media_7837_archive_.zip,948006232,1399124
/nfs/images/media/morphosource/images/7/8/39806_ms_media_files_media_7873_archive_.zip,524900273,391132
/nfs/images/media/morphosource/images/7/8/91407_ms_media_files_media_7883_archive_.zip,2527634497,4569538
/nfs/images/media/morphosource/images/7/8/20033_ms_media_files_media_7843_archive_.zip,1020145906,1506548
/nfs/images/media/morphosource/images/7/8/85271_ms_media_files_media_7853_archive_.zip,909024857,1101882
/nfs/images/media/morphosource/images/7/8/51990_ms_media_files_media_7862_archive_.zip,329480553,297354
/nfs/images/media/morphosource/images/7/8/31558_ms_media_files_media_7819_archive_.zip,221269905,621424
/nfs/images/media/morphosource/images/7/8/73478_ms_media_files_media_7894_archive_.zip,1162284647,4648558
/nfs/images/media/morphosource/images/7/8/46296_ms_media_files_media_7857_archive_.zip,1153165091,1011430
/nfs/images/media/morphosource/images/7/8/78609_ms_media_files_media_7816_archive_.zip,442839115,506432
/nfs/images/media/morphosource/images/7/8/67879_ms_media_files_media_7807_archive_.zip,343827371,408418
/nfs/images/media/morphosource/images/7/8/4342_ms_media_files_media_7887_archive_.zip,1474525612,4192426
/nfs/images/media/morphosource/images/7/8/58591_ms_media_files_media_7870_archive_.zip,115803027,102692
/nfs/images/media/morphosource/images/7/8/79813_ms_media_files_media_7858_archive_.zip,374056375,446348
/nfs/images/media/morphosource/images/7/8/63086_ms_media_files_media_7852_archive_.zip,900744197,1092926
/nfs/images/media/morphosource/images/7/8/6105_ms_media_files_media_7828_archive_.zip,316864458,283152
/nfs/images/media/morphosource/images/7/9/76578_ms_media_files_media_7961_archive_.zip,27496323,60326
/nfs/images/media/morphosource/images/7/9/40639_ms_media_files_media_7946_archive_.zip,41931079,73164
/nfs/images/media/morphosource/images/7/9/97507_ms_media_files_media_7910_archive_.zip,1556360618,4866214
/nfs/images/media/morphosource/images/7/9/17751_ms_media_files_media_7940_archive_.zip,286591450,164534
/nfs/images/media/morphosource/images/7/9/6367_ms_media_files_media_7943_archive_.zip,24835774,67584
/nfs/images/media/morphosource/images/7/9/9870_ms_media_files_media_7900_archive_.zip,2037092294,5441638
/nfs/images/media/morphosource/images/7/9/94522_ms_media_files_media_7988_archive_.zip,82257592,152510
/nfs/images/media/morphosource/images/7/9/20421_ms_media_files_media_7964_archive_.zip,62658162,147078
