media,downloaded file name,public url,doi,file type,file size,title,notes,specimen,specimen taxonomy,insitution,description/element,side,locality,relative age,absolute age,description/element updated,facility,scanner type,x res,y res,z res,voltage,amperage,watts,projections,frame averaging,wedge,shading correction,flux normalization,geometric callibration,calibration description,technicians,date uploaded,time uploaded,grant support,copyright holder,copyright license,citation instruction statement (to be copy-pasted into acknolwedgements)
M17549-33081,cumv-fish-78499_M17549-33081.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17549,,,42.06 MB,Belonion dibranchodon (triangle) - images/ tomogram stack/ log data,,cumv-fish-78499,Belonion dibranchodon, Cornell University Museum of Vertebrates,,,"rio atabapo, isla viahita, 8 km s san fernando de atabapo",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0160 mm,0.016 mm,0.016 mm,65 kv,127 ¥Ë_a, W,,,No,No,No,0,,,9/8/17,0:21:57,, Cornell University Museum of Vertebrates,CC-BY-NC,
M17549-33082,cumv-fish-78499_M17549-33082.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17549,,,23.87 MB,Belonion dibranchodon (t) - images/ tomogram stack/ log data,,cumv-fish-78499,Belonion dibranchodon, Cornell University Museum of Vertebrates,,,"rio atabapo, isla viahita, 8 km s san fernando de atabapo",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0160 mm,0.016 mm,0.016 mm,65 kv,127 ¥Ë_a, W,,,No,No,No,0,,,9/8/17,0:21:57,, Cornell University Museum of Vertebrates,CC-BY-NC,
M15092-27356,cumv-fish-54050_M15092-27356.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15092,,image/png,496.2 KB,Rhamphocottus richardsonii- standard headshot,,cumv-fish-54050,Rhamphocottus richardsonii, Cornell University Museum of Vertebrates,,,no data,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.01832 mm,0.01832 mm,0.01832 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,17:14:29, NSF Doctoral Dissertation Improvement Grant (DEB-1310812),Stacy Farina,,
M15092-27357,cumv-fish-54050_M15092-27357.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15092,,,1.24 GB,Rhamphocottus richardsonii- tomogram stack,,cumv-fish-54050,Rhamphocottus richardsonii, Cornell University Museum of Vertebrates,,,no data,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.01832 mm,0.01832 mm,0.01832 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,17:14:29, NSF Doctoral Dissertation Improvement Grant (DEB-1310812),Stacy Farina,,
M15042-27202,cumv-fish-78131_M15042-27202.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15042,,image/png,312.5 KB,Cottus cognatus - standard headshot,,cumv-fish-78131,Cottus cognatus, Cornell University Museum of Vertebrates,,,cayuta creek at alpine,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.014 mm,0.014 mm,0.014 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:22:51,, Cornell University Museum of Vertebrates,,
M15042-27203,cumv-fish-78131_M15042-27203.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15042,,,1.28 GB,Cottus cognatus - tomogram stack,,cumv-fish-78131,Cottus cognatus, Cornell University Museum of Vertebrates,,,cayuta creek at alpine,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.014 mm,0.014 mm,0.014 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:22:51,, Cornell University Museum of Vertebrates,,
M15041-27200,cumv-fish-98024_M15041-27200.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15041,,image/png,482.85 KB,Blepsias cirrhosus - standard headshot,,cumv-fish-98024,Blepsias cirrhosus, Cornell University Museum of Vertebrates,,,"san juan island, jackson beach",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.04992 mm,0.04992 mm,0.04992 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:14:02,, Cornell University Museum of Vertebrates,,
M15041-27201,cumv-fish-98024_M15041-27201.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15041,,,1.5 GB,Blepsias cirrhosus - tomogram stack,,cumv-fish-98024,Blepsias cirrhosus, Cornell University Museum of Vertebrates,,,"san juan island, jackson beach",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.04992 mm,0.04992 mm,0.04992 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,17:14:02,, Cornell University Museum of Vertebrates,,
M15028-27160,cumv-fish-98033_M15028-27160.jpg,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15028,,image/jpeg,260.93 KB,Artedius harringtoni - standard headshot,,cumv-fish-98033,Artedius harringtoni, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.02563 mm,0.02563 mm,0.02563 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,15:05:45,, Cornell University Museum of Vertebrates,,
M15028-27173,cumv-fish-98033_M15028-27173.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15028,,,1.23 GB,Artedius harringtoni - tomogram stack,,cumv-fish-98033,Artedius harringtoni, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.02563 mm,0.02563 mm,0.02563 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,15:05:45,, Cornell University Museum of Vertebrates,,
M15038-27190,cumv-fish-98035_M15038-27190.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15038,,image/png,427.15 KB,Artedius lateralis- standard headshot,,cumv-fish-98035,Artedius lateralis, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.024 mm,0.024 mm,0.024 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,16:35:31,, Cornell University Museum of Vertebrates,,
M15038-27199,cumv-fish-98035_M15038-27199.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15038,,,1.24 GB,Artedius lateralis- tomogram stack,,cumv-fish-98035,Artedius lateralis, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.024 mm,0.024 mm,0.024 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,16:35:31,, Cornell University Museum of Vertebrates,,
M15027-27159,cumv-fish-98036_M15027-27159.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15027,,image/png,411.12 KB,Artedius fenestralis - standard headshot,,cumv-fish-98036,Artedius fenestralis, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.025 mm,0.025 mm,0.025 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,14:58:07,, Cornell University Museum of Vertebrates,,
M15027-27169,cumv-fish-98036_M15027-27169.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15027,,,1.26 GB,Artedius fenestralis - tomogram stack,,cumv-fish-98036,Artedius fenestralis, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.025 mm,0.025 mm,0.025 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/15/17,14:58:07,, Cornell University Museum of Vertebrates,,
M15080-27327,cumv-fish-97976_M15080-27327.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15080,,image/png,359.66 KB,Dasycottus setiger - standard headshot,,cumv-fish-97976,Dasycottus setiger, Cornell University Museum of Vertebrates,,,near friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.050 mm,0.050 mm,0.050 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,15:21:54,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15080-27328,cumv-fish-97976_M15080-27328.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15080,,,1.28 GB,Dasycottus setiger - tomogram stack,,cumv-fish-97976,Dasycottus setiger, Cornell University Museum of Vertebrates,,,near friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.050 mm,0.050 mm,0.050 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,15:21:54,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15083-27333,cumv-fish-97998_M15083-27333.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15083,,image/png,389.84 KB,Jordania zonope - standard headshot,,cumv-fish-97998,Jordania zonope, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0228 mm,0.0228 mm,0.0228 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,16:03:16,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15083-27334,cumv-fish-97998_M15083-27334.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15083,,,1.19 GB,Jordania zonope - tomogram stack,,cumv-fish-97998,Jordania zonope, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0228 mm,0.0228 mm,0.0228 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,16:03:16,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15089-27344,cumv-fish-98019_M15089-27344.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15089,,image/png,298.67 KB,Leptocottus armatus- standard headshot,,cumv-fish-98019,Leptocottus armatus, Cornell University Museum of Vertebrates,,,"san juan island, jackson beach",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.04992 mm,0.04992 mm,0.04992 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,16:46:14,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15089-27350,cumv-fish-98019_M15089-27350.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15089,,,1.33 GB,Leptocottus armatus- tomogram stack,,cumv-fish-98019,Leptocottus armatus, Cornell University Museum of Vertebrates,,,"san juan island, jackson beach",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.04992 mm,0.04992 mm,0.04992 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,16:46:14,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15088-27342,cumv-fish-98029_M15088-27342.jpg,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15088,,image/jpeg,274.38 KB,Oligocottus maculosus -standard headshot,,cumv-fish-98029,Oligocottus maculosus, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0169 mm,0.0169 mm,0.0169 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,16:43:52,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15088-27343,cumv-fish-98029_M15088-27343.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15088,,,1.22 GB,Oligocottus maculosus - tomogram stack,,cumv-fish-98029,Oligocottus maculosus, Cornell University Museum of Vertebrates,,,"deadman bay, san juan island",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0169 mm,0.0169 mm,0.0169 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/18/17,16:43:52,NSF Doctoral Dissertation Improvement Grant (DEB-1310812), Cornell University Museum of Vertebrates,,
M15128-27508,cumv-fish-97981_M15128-27508.jpg,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15128,,image/jpeg,259.03 KB,Liparis dennyi - headshot,,cumv-fish-97981,Liparis dennyi, Cornell University Museum of Vertebrates,,,friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.024 mm,0.024 mm,0.024 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/19/17,15:57:51,, Cornell University Museum of Vertebrates,,
M15128-27509,cumv-fish-97981_M15128-27509.jpg,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15128,,image/jpeg,298.65 KB,Liparis dennyi - dorsal,,cumv-fish-97981,Liparis dennyi, Cornell University Museum of Vertebrates,,,friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.024 mm,0.024 mm,0.024 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/19/17,15:57:51,, Cornell University Museum of Vertebrates,,
M15128-27511,cumv-fish-97981_M15128-27511.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15128,,,1.2 GB,Liparis dennyi - tomogram stack,,cumv-fish-97981,Liparis dennyi, Cornell University Museum of Vertebrates,,,friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.024 mm,0.024 mm,0.024 mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/19/17,15:57:51,, Cornell University Museum of Vertebrates,,
M15123-27499,cumv-fish-97986_M15123-27499.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15123,,image/png,412.35 KB,Liparis florae - headshot,,cumv-fish-97986,Liparis florae, Cornell University Museum of Vertebrates,,,friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173, mm, mm, mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/19/17,15:12:08,, Cornell University Museum of Vertebrates,,
M15123-27500,cumv-fish-97986_M15123-27500.png,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15123,,image/png,506.24 KB,Liparis florae - dorsal,,cumv-fish-97986,Liparis florae, Cornell University Museum of Vertebrates,,,friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173, mm, mm, mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/19/17,15:12:08,, Cornell University Museum of Vertebrates,,
M15123-27510,cumv-fish-97986_M15123-27510.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15123,,,1.3 GB,Liparis florae - tomogram stack,,cumv-fish-97986,Liparis florae, Cornell University Museum of Vertebrates,,,friday harbor laboratories,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173, mm, mm, mm, kv, ¥Ë_a, W,,,No,No,No,0,,,6/19/17,15:12:08,, Cornell University Museum of Vertebrates,,
M16650-30952,cumv-fish-78499_M16650-30952.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/16650,,,31.6 MB,Belonion dibranchodon -Images/ tomogram stack/ log file,,cumv-fish-78499,Belonion dibranchodon, Cornell University Museum of Vertebrates,,,"rio atabapo, isla viahita, 8 km s san fernando de atabapo",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0159 mm,0.0159 mm,0.0159 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,8/14/17,15:17:26,, Cornell University Museum of Vertebrates,,
M16721-31059,cumv-fish-78065_M16721-31059.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/16721,,,393.61 MB,Strongylura fluviatilis -Images/ tomogram stack/ log file,,cumv-fish-78065,Strongylura fluviatilis, Cornell University Museum of Vertebrates,,,bolinaro market,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.03107 mm,0.03107 mm,0.03107 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,8/15/17,0:57:13,, Cornell University Museum of Vertebrates,,
M16720-31058,cumv-fish-78507_M16720-31058.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/16720,,,324.73 MB,Strongylura fluviatilis -Images/ tomogram stack/ log file,,cumv-fish-78507,Strongylura fluviatilis, Cornell University Museum of Vertebrates,,,"along shore of r. onzolle, ~20 minutes by canoe upstream from confluence with r. cayapas (steve's lodge); rio cayapas",,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.03107 mm,0.03107 mm,0.03107 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,8/15/17,0:52:24,, Cornell University Museum of Vertebrates,,
M16723-31061,cumv-fish-878505_M16723-31061.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/16723,,,317.82 MB,Pseudotylosurus angusticeps -Images/ tomogram stack/ log file,,cumv-fish-878505,Pseudotylosurus angusticeps, Cornell University Museum of Vertebrates,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.03107 mm,0.03107 mm,0.03107 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,8/15/17,1:00:12,, Cornell University Museum of Vertebrates,,
M17217-32148,ansp-fish-104891_M17217-32148.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17217,,,484.66 MB,Canthigaster valentini (H) - images/ tomogram stack/ log data,,ansp-fish-104891,Canthigaster valentini,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:38:24,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17217-32149,ansp-fish-104891_M17217-32149.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17217,,,628.27 MB,Canthigaster valentini (5) - images/ tomogram stack/ log data,,ansp-fish-104891,Canthigaster valentini,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:38:24,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17212-32141,ansp-fish-112701_M17212-32141.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17212,,,102.78 MB,Canthigaster punctatissima - images/ tomogram stack/ log data,,ansp-fish-112701,Canthigaster punctatissima,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:02:50,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17219-32151,ansp-fish-117642_M17219-32151.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17219,,,518.42 MB,Takifugu oblongus (X) - images/ tomogram stack/ log data,,ansp-fish-117642,Takifugu oblongus,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:49:40,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17219-32152,ansp-fish-117642_M17219-32152.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17219,,,663.15 MB,Takifugu oblongus (F) - images/ tomogram stack/ log data,,ansp-fish-117642,Takifugu oblongus,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:49:40,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17216-32147,ansp-fish-176092_M17216-32147.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17216,,,397.13 MB,Canthigaster coronata - images/ tomogram stack/ log data,,ansp-fish-176092,Canthigaster coronata,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:32:09,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17215-32146,ansp-fish-23773_M17215-32146.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17215,,,155 MB,Lagocephalus lagocephalus - images/ tomogram stack/ log data,,ansp-fish-23773,Lagocephalus lagocephalus,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:21:59,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17220-32153,ansp-fish-53070_M17220-32153.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17220,,,530.3 MB,Tylerius spinosissimus - images/ tomogram stack/ log data,,ansp-fish-53070,Tylerius spinosissimus,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:57:18,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17218-32150,ansp-fish-65597_M17218-32150.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17218,,,400.36 MB,Canthigaster jactator - images/ tomogram stack/ log data,,ansp-fish-65597,Canthigaster jactator,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0248 mm,0.0248 mm,0.0248 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:46:02,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17210-32137,ansp-fish-72346_M17210-32137.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17210,,,83.12 MB,Canthigaster rostrata (Z) - images/ tomogram stack/ log data,,ansp-fish-72346,Canthigaster rostrata,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.341 mm,0.0.341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,21:55:09,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17210-32138,ansp-fish-72346_M17210-32138.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17210,,,62.66 MB,Canthigaster rostrata (O) - images/ tomogram stack/ log dataDescription,,ansp-fish-72346,Canthigaster rostrata,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.341 mm,0.0.341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,21:55:09,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17213-32142,ansp-fish-87328_M17213-32142.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17213,,,29.78 MB,Dichotomyctere fluviatilis (Y) - images/ tomogram stack/ log data,,ansp-fish-87328,Dichotomyctere fluviatilis,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:10:26,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17213-32143,ansp-fish-87328_M17213-32143.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17213,,,24.1 MB,Dichotomyctere fluviatilis (3) - images/ tomogram stack/ log data,,ansp-fish-87328,Dichotomyctere fluviatilis,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:10:26,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17211-32139,ansp-fish-90784_M17211-32139.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17211,,,68.09 MB,Canthigaster solandri ($) - images/ tomogram stack/ log data,,ansp-fish-90784,Canthigaster solandri,Academy of Natural Sciences of Drexel University,,,guam,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,21:59:27,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17211-32140,ansp-fish-90784_M17211-32140.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17211,,,26.23 MB,Canthigaster solandri (2) - images/ tomogram stack/ log data,,ansp-fish-90784,Canthigaster solandri,Academy of Natural Sciences of Drexel University,,,guam,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,21:59:27,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17214-32144,ansp-fish-97332_M17214-32144.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17214,,,38.63 MB,Sphoeroides lobatus (E) - images/ tomogram stack/ log data,,ansp-fish-97332,Sphoeroides lobatus,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:14:48,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17214-32145,ansp-fish-97332_M17214-32145.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17214,,,32.82 MB,Sphoeroides lobatus (H) - images/ tomogram stack/ log data,,ansp-fish-97332,Sphoeroides lobatus,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0341 mm,0.0341 mm,0.0341 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/2/17,22:14:48,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17258-32228,ansp-fish-101331_M17258-32228.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17258,,,117.58 MB,Lagocephalus inermis (}) - images/ tomogram stack/ log data,,ansp-fish-101331,Lagocephalus inermis,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0294 mm,0.0294 mm,0.0294 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/3/17,16:43:23,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17258-32229,ansp-fish-101331_M17258-32229.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17258,,,102.57 MB,Lagocephalus inermis (5) - images/ tomogram stack/ log data,,ansp-fish-101331,Lagocephalus inermis,Academy of Natural Sciences of Drexel University,,,,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0294 mm,0.0294 mm,0.0294 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/3/17,16:43:23,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
M17260-32232,ansp-fish-103210_M17260-32232.zip,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/17260,,,1.22 GB,Sphoeroides pachygaster (3) - images/ tomogram stack/ log data,,ansp-fish-103210,Sphoeroides pachygaster,Academy of Natural Sciences of Drexel University,,,gulf of guinea,,,,Karel F. Liem Bioimaging facility,Bruker Skyscan 1173,0.0351 mm,0.0351 mm,0.0351 mm,65 kv,123 ¥Ë_a, W,,,No,No,No,0,,,9/3/17,17:15:43,,Academy of Natural Sciences of Drexel University,CC-BY-NC,
